"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,14662881,6058255,4477230,1581025
41,15523182,6348261,4576045,1772216
42,15616133,6329712,4705041,1624671
43,15783019,6462031,4806142,1655889
44,16441567,6633069,4985822,1647247
45,16647825,6769503,5122344,1647159
46,16790791,6848453,5265763,1582690
47,17564312,7174659,5375976,1798683
48,18356048,7549595,5485249,2064346
49,18557461,7717121,5626501,2090620
50,18728992,7765475,5738244,2027231